scenario_group,agent,mean_risk,risk_ci_low,risk_ci_high,mean_quality,mean_net,mean_rank,top1_freq
retail,openai_agent,0.00619,0.0,0.01875,0.8505786458333334,0.8443886458333333,1.0,1.0
retail,openai_naive_agent,0.268323125,0.2020833333333333,0.3375260416666663,0.1516464583333333,-0.1166766666666666,2.0,0.0
subscription,openai_agent,0.0,0.0,0.0,0.7309096875,0.7309096875,1.0,1.0
subscription,openai_naive_agent,0.262110625,0.196875,0.328125,0.1477939583333333,-0.1143166666666666,2.0,0.0
